0,2.67664e-09,0
1.55569e-21,2.67664e-09,1.55569e-21
4.98982e-20,-5.35326e-09,4.98982e-20
3.69936e-19,-2.67664e-08,3.69936e-19
1.26555e-18,-6.69162e-08,1.26555e-18
1.73549e-18,-1.31154e-07,1.73549e-18
-5.01879e-18,-2.24834e-07,-5.01879e-18
-4.17685e-17,-3.53309e-07,-4.17685e-17
-1.6639e-16,-5.21936e-07,-1.6639e-16
-5.03873e-16,-7.36062e-07,-5.03873e-16
-1.29572e-15,-1.00104e-06,-1.29572e-15
-2.9718e-15,-1.32223e-06,-2.9718e-15
-6.25027e-15,-1.70497e-06,-6.25026e-15
-1.22716e-14,-2.15466e-06,-1.22716e-14
-2.27731e-14,-2.67661e-06,-2.27731e-14
-4.03119e-14,-3.27617e-06,-4.03119e-14
-6.85414e-14,-3.95871e-06,-6.85414e-14
-1.12553e-13,-4.72956e-06,-1.12553e-13
-1.79286e-13,-5.59401e-06,-1.79286e-13
-2.78021e-13,-6.55763e-06,-2.78021e-13
-4.2096e-13,-7.62557e-06,-4.2096e-13
-6.23904e-13,-8.80322e-06,-6.23904e-13
-9.07041e-13,-1.00961e-05,-9.07041e-13
-1.29585e-12,-1.15094e-05,-1.29585e-12
-1.82214e-12,-1.30484e-05,-1.82214e-12
-2.52522e-12,-1.47184e-05,-2.52522e-12
-3.45324e-12,-1.65252e-05,-3.45324e-12
-4.66463e-12,-1.84735e-05,-4.66463e-12
-6.22982e-12,-2.05696e-05,-6.22982e-12
-8.23307e-12,-2.28175e-05,-8.23307e-12
-1.07745e-11,-2.52237e-05,-1.07745e-11
-1.39723e-11,-2.77935e-05,-1.39723e-11
-1.79654e-11,-3.05318e-05,-1.79654e-11
-2.29161e-11,-3.34443e-05,-2.29161e-11
-2.90126e-11,-3.65363e-05,-2.90126e-11
-3.64732e-11,-3.98127e-05,-3.64732e-11
-4.55487e-11,-4.32783e-05,-4.55487e-11
-5.65272e-11,-4.69394e-05,-5.65272e-11
-6.97371e-11,-5.08008e-05,-6.97372e-11
-8.55528e-11,-5.48689e-05,-8.55528e-11
-1.04398e-10,-5.91483e-05,-1.04398e-10
-1.26753e-10,-6.36439e-05,-1.26753e-10
-1.53156e-10,-6.8362e-05,-1.53156e-10
-1.84215e-10,-7.33088e-05,-1.84215e-10
-2.20606e-10,-7.84877e-05,-2.20606e-10
-2.63088e-10,-8.39049e-05,-2.63088e-10
-3.12504e-10,-8.95638e-05,-3.12504e-10
-3.6979e-10,-9.54736e-05,-3.6979e-10
-4.35983e-10,-0.000101638,-4.35983e-10
-5.12228e-10,-0.000108059,-5.12229e-10
-5.99793e-10,-0.000114747,-5.99793e-10
-7.00064e-10,-0.000121706,-7.00065e-10
-8.14566e-10,-0.00012894,-8.14567e-10
-9.44971e-10,-0.000136454,-9.44972e-10
-1.0931e-09,-0.000144254,-1.09311e-09
-1.26096e-09,-0.000152346,-1.26096e-09
-1.45071e-09,-0.000160737,-1.45071e-09
-1.6647e-09,-0.000169426,-1.6647e-09
-1.9055e-09,-0.000178426,-1.9055e-09
-2.17586e-09,-0.000187737,-2.17586e-09
-2.47879e-09,-0.000197365,-2.47879e-09
-2.81752e-09,-0.000207317,-2.81752e-09
-3.19551e-09,-0.000217599,-3.19551e-09
-3.61651e-09,-0.000228211,-3.61651e-09
-4.08453e-09,-0.000239165,-4.08453e-09
-4.60388e-09,-0.000250462,-4.60388e-09
-5.17916e-09,-0.000262113,-5.17916e-09
-5.8153e-09,-0.000274119,-5.8153e-09
-6.51754e-09,-0.00028648,-6.51754e-09
-7.29145e-09,-0.000299209,-7.29145e-09
-8.143e-09,-0.000312305,-8.143e-09
-9.07851e-09,-0.00032578,-9.07851e-09
-1.01047e-08,-0.000339635,-1.01047e-08
-1.12286e-08,-0.000353871,-1.12286e-08
-1.24577e-08,-0.000368498,-1.24577e-08
-1.37999e-08,-0.000383529,-1.37999e-08
-1.52636e-08,-0.000398952,-1.52636e-08
-1.68575e-08,-0.000414792,-1.68575e-08
-1.85908e-08,-0.000431036,-1.85908e-08
-2.04733e-08,-0.000447696,-2.04733e-08
-2.25149e-08,-0.000464786,-2.25149e-08
-2.47263e-08,-0.000482303,-2.47263e-08
-2.71185e-08,-0.000500241,-2.71185e-08
-2.97031e-08,-0.000518628,-2.97031e-08
-3.2492e-08,-0.000537444,-3.2492e-08
-3.54977e-08,-0.000556712,-3.54977e-08
-3.87331e-08,-0.000576432,-3.87331e-08
-4.22116e-08,-0.000596606,-4.22116e-08
-4.59472e-08,-0.000617255,-4.59472e-08
-4.99538e-08,-0.000638357,-4.99538e-08
-5.42463e-08,-0.000659935,-5.42463e-08
-5.884e-08,-0.000681989,-5.884e-08
-6.37502e-08,-0.000704541,-6.37502e-08
-6.89931e-08,-0.000727571,-6.89931e-08
-7.45846e-08,-0.0007511,-7.45846e-08
-8.05416e-08,-0.000775127,-8.05416e-08
-8.68811e-08,-0.000799654,-8.68811e-08
-9.36203e-08,-0.000824681,-9.36203e-08
-1.00777e-07,-0.000850207,-1.00777e-07
-1.08368e-07,-0.000876255,-1.08367e-07
-1.16411e-07,-0.000902825,-1.16411e-07
-1.24926e-07,-0.000929917,-1.24926e-07
-1.33929e-07,-0.000957553,-1.33929e-07
-1.43439e-07,-0.000985711,-1.43439e-07
-1.53474e-07,-0.00101441,-1.53474e-07
-1.64053e-07,-0.00104366,-1.64053e-07
-1.75193e-07,-0.00107345,-1.75193e-07
-1.86912e-07,-0.00110379,-1.86912e-07
-1.99228e-07,-0.00113471,-1.99228e-07
-2.12158e-07,-0.00116618,-2.12158e-07
-2.2572e-07,-0.00119823,-2.2572e-07
-2.3993e-07,-0.00123083,-2.3993e-07
-2.54803e-07,-0.00126402,-2.54803e-07
-2.70357e-07,-0.00129779,-2.70357e-07
-2.86606e-07,-0.00133216,-2.86606e-07
-3.03565e-07,-0.00136711,-3.03565e-07
-3.21249e-07,-0.00140264,-3.21249e-07
-3.39669e-07,-0.00143877,-3.39669e-07
-3.58838e-07,-0.00147552,-3.58838e-07
-3.78769e-07,-0.00151286,-3.78769e-07
-3.99471e-07,-0.00155083,-3.99471e-07
-4.20954e-07,-0.00158939,-4.20954e-07
-4.43228e-07,-0.00162857,-4.43228e-07
-4.663e-07,-0.00166839,-4.663e-07
-4.90176e-07,-0.00170883,-4.90176e-07
-5.14862e-07,-0.00174991,-5.14862e-07
-5.40362e-07,-0.00179161,-5.40362e-07
-5.66681e-07,-0.00183399,-5.66681e-07
-5.93819e-07,-0.00187699,-5.93819e-07
-6.21778e-07,-0.00192062,-6.21778e-07
